#{"t_start": 1765400232.2934375, "env_id": "None"}
r,l,t
7.333334,19,1.61619
17.666664,46,2.138358
4.333333,12,2.249832
6.3333335,12,2.395084
2.0,5,2.457085
6.666668,17,2.638561
27.33334,59,3.406807
20.333336,48,4.05942
33.666676,76,5.126944
13.999998,31,5.553547
16.666662,35,6.007318
2.6666667,5,6.080076
22.666668,55,6.832658
3.3333335,7,6.931743
35.66667,88,8.126194
14.666662,37,8.620455
1.6666667,6,8.70668
6.666667,17,8.938899
17.999996,43,9.549981
8.333334,18,9.806869
14.666664,35,10.266891
3.9999998,9,10.407683
3.6666665,8,10.535469
10.333332,24,10.859525
1.0,4,10.922823
3.6666665,8,11.019234
8.000001,21,11.299583
4.6666665,11,11.461924
5.6666665,14,11.65968
3.6666665,8,11.773697
9.666667,24,12.113808
13.666664,32,12.537925
19.333332,51,13.240773
32.666687,79,14.310913
6.6666665,13,14.499574
15.999996,41,15.066284
25.666674,60,15.889974
5.333333,13,16.066212
1.3333334,5,16.135317
3.333333,11,16.284998
43.99998,105,17.691008
0.6666667,3,17.74022
5.0,12,17.895262
5.3333335,15,18.103705
21.666668,50,18.777063
6.0000005,13,18.982011
48.999973,118,20.671182
8.666667,21,20.94337
5.333334,13,21.135005
6.333333,16,21.365501
13.333332,33,21.821259
10.0,23,22.143385
15.666663,40,22.650273
8.0,17,22.890788
25.666674,64,23.764518
6.6666665,17,23.998128
6.3333335,14,24.195253
4.9999995,12,24.351574
18.666664,43,24.912544
4.9999995,12,25.0702
9.666666,26,25.4045
14.999998,34,25.838097
15.999997,37,26.332319
24.000006,53,27.034881
9.333333,21,27.320567
12.666665,33,27.77266
12.666666,31,28.185467
6.666667,17,28.433362
7.666667,20,28.711072
3.3333333,7,28.806901
25.333338,59,30.074993
6.6666665,15,30.271442
38.66666,91,31.50198
13.333331,29,31.881289
10.999998,26,32.235857
10.999999,30,32.634918
10.0,23,32.941303
4.9999995,12,33.118852
10.666666,29,33.49171
9.333334,21,33.787136
1.6666667,6,33.884977
11.333332,23,34.214026
15.999996,35,34.688434
20.333332,42,35.246461
2.9999998,8,35.354518
19.33333,49,36.018302
3.0,6,36.102999
9.0,18,36.363346
12.333333,26,36.722666
16.33333,38,37.244314
6.666667,17,37.485833
1.6666667,4,37.538839
16.666664,35,38.034935
2.6666667,5,38.103665
38.333332,80,39.210337
20.0,49,39.863947
9.333332,21,40.155114
3.6666665,8,40.260964
15.666664,40,40.807292
10.333333,28,41.18335
1.6666667,6,41.266694
1.6666667,6,41.358003
17.666666,46,41.995699
1.3333334,3,42.045134
10.333333,28,42.419613
26.33334,58,43.2015
2.0,5,43.268071
1.3333334,3,43.315406
12.666662,33,43.749115
3.3333335,7,43.846531
2.0,7,43.939725
34.33334,86,45.199611
3.6666667,8,45.310604
20.000004,45,45.951888
1.0,4,46.011833
12.999998,32,46.577483
8.666668,17,46.842328
13.999996,35,47.34348
21.0,54,48.093552
2.9999998,10,48.216964
38.333344,78,49.232963
1.3333334,5,49.296077
5.3333335,15,49.499295
4.333333,10,49.624439
1.6666667,6,49.722858
19.999998,43,50.309492
3.6666665,8,50.424221
6.6666675,17,50.653554
9.666666,26,51.028473
20.333334,54,51.741908
21.666672,54,52.424855
50.99996,130,53.972709
0.33333334,2,54.006431
10.999997,28,54.384856
7.000001,16,54.607012
0.33333334,2,54.643005
1.0,4,54.697241
10.999998,30,55.095177
14.999997,34,55.573665
5.333333,15,55.778167
10.333334,22,56.061024
6.3333335,16,56.302365
14.666662,41,56.937211
5.0,10,57.074965
21.000002,44,58.079315
29.000011,68,58.964981
4.9999995,10,59.108424
19.333334,43,59.680143
20.333336,48,60.378717
9.333333,27,60.782047
3.0,6,60.877733
4.9999995,10,61.023049
5.666667,16,61.262421
33.333344,71,62.126369
4.333333,10,62.263615
22.333336,58,63.061804
12.999999,32,63.495937
4.6666665,15,63.705929
37.666668,82,64.718504
9.999999,23,65.063549
6.6666675,19,65.353411
22.000002,63,66.242642
4.333333,12,66.410122
28.333342,68,67.322955
23.000004,54,68.054888
8.333334,24,68.39827
10.999999,30,68.804775
20.0,45,69.411878
8.333335,22,69.727598
2.6666665,7,69.820101
7.3333335,17,70.040451
1.6666667,6,70.115917
12.666662,29,79.157643
26.666676,63,80.016036
5.0,14,80.199234
5.333333,13,80.38478
7.0000005,20,80.645058
5.333333,13,80.832497
1.0,4,80.89569
3.3333333,7,81.000566
24.333338,52,81.689852
8.666666,19,81.943737
24.000006,63,82.767784
3.6666665,8,82.890834
14.333329,34,83.363621
22.33334,48,84.009179
15.666662,36,84.496251
8.0,19,84.765986
13.666664,34,85.217287
19.999996,45,85.851877
25.000008,58,86.635036
19.666668,48,87.297738
11.666665,26,87.637462
25.000008,62,88.461714
35.33334,77,89.41844
