#{"t_start": 1765311010.4041247, "env_id": "None"}
r,l,t
5.9699697,7,7.98491
9.642882,11,8.806837
8.179413,10,10.90706
16.99761,23,12.912503
6.884318,9,12.912765
26.991438,33,13.620224
26.497639,38,14.743623
8.8141365,11,15.398761
7.1555657,10,16.931088
28.473549,37,20.997731
34.30033,40,22.266084
26.276056,33,22.500764
5.438769,8,22.732903
27.091747,30,23.341467
3.1441824,4,23.563369
5.057868,7,23.967443
5.673489,7,25.374923
7.157772,10,25.583678
12.800568,17,25.787992
19.630613,25,28.461061
12.126711,15,28.683713
15.903524,20,29.531102
18.696623,23,30.568626
4.764209,6,30.784233
13.319729,18,32.46222
10.03882,15,33.670681
10.064532,12,36.140456
16.159372,19,36.341413
34.958508,42,37.187719
4.989617,6,38.486136
8.497872,11,38.715906
17.777096,23,40.988154
16.491154,22,43.339274
47.634697,62,43.805146
19.365677,26,44.014799
13.218174,18,44.869143
4.797494,6,45.264584
11.123981,15,46.507084
11.987063,14,46.722075
9.939765,14,47.74016
17.201696,19,49.139513
17.011572,20,50.788094
11.3776045,16,52.400155
22.597017,30,52.607178
9.450065,12,53.271162
6.889344,10,54.569123
8.097258,11,54.998554
28.750158,39,55.843725
6.6144814,10,56.723635
14.549986,17,56.952647
12.035695,17,59.467469
22.901388,30,61.257453
18.985733,24,61.687597
24.38957,31,63.387868
16.65989,22,64.016479
7.9616947,10,65.416245
4.904179,6,66.664222
9.331492,14,66.898402
21.448893,27,67.321897
7.049088,8,68.408262
4.632338,6,68.656741
4.7591467,6,69.933587
11.97314,15,71.555144
19.742785,23,71.764535
9.323475,11,72.180179
10.595154,16,74.8779
54.031155,70,75.888456
21.538574,28,77.545114
13.198146,17,79.348092
9.50486,14,80.404781
35.005478,46,81.657902
13.401648,17,85.208113
28.472153,37,87.121314
34.030823,43,89.529409
14.095035,19,91.204871
64.448326,80,91.631123
10.783039,15,92.722775
10.488125,12,94.210924
7.8845882,9,94.622314
3.7998402,5,95.634063
6.3287992,8,97.279902
58.946827,80,102.035429
5.620601,7,103.58862
36.801716,47,104.051553
5.840066,7,105.19959
32.077236,38,105.42081
6.5502973,8,107.122754
8.718575,11,107.554081
59.52098,80,108.151824
3.38349,5,108.152084
7.0206685,9,109.358114
20.984505,26,109.564308
7.592467,10,110.191806
4.666419,6,110.635982
15.782216,21,112.557841
22.340595,27,115.813366
25.775852,34,116.649092
23.955772,30,116.86398
19.519136,23,117.280167
5.541069,8,118.926403
12.868581,14,119.735232
17.993135,24,121.675598
16.428095,19,123.720217
31.683842,45,125.157666
12.237359,14,126.598149
4.599514,7,128.05428
15.375098,19,129.092823
44.65795,58,131.076177
12.147685,15,131.28437
13.208889,16,132.515939
58.771717,79,137.944886
34.39283,39,138.957159
28.737942,34,139.423121
17.666576,21,142.511506
3.525371,5,143.584028
6.011701,8,145.196212
64.99805,79,147.794584
36.64354,44,148.408439
24.239182,29,151.278203
18.320898,22,152.273707
5.903033,8,152.874541
18.822596,22,152.874809
6.937459,9,154.870856
10.6370325,13,155.758461
4.843031,6,156.164131
61.4568,80,156.384061
24.511473,30,158.636583
5.5217147,7,160.058736
18.599272,26,161.073905
20.382036,25,161.282322
23.068,28,162.137177
12.42871,14,162.955737
12.543319,16,166.337751
18.228092,25,166.33801
23.098026,26,166.821484
6.1259265,8,168.142015
6.881018,10,168.572198
26.708376,30,168.57252
5.92034,8,170.191779
13.478039,17,171.632882
6.277701,9,172.050657
3.795827,5,172.69671
32.06713,42,175.572928
9.858623,15,175.788505
5.3419805,7,177.220033
18.597984,26,177.469002
13.181085,16,180.770493
5.3823156,7,182.180348
56.009666,75,184.012882
22.293406,26,187.426152
17.393515,21,188.249768
43.642673,60,189.457774
14.41852,17,190.966327
63.56104,80,192.038525
12.224412,16,192.865977
3.8157215,5,193.073955
12.998088,18,194.714033
9.646354,13,195.558198
27.680285,35,195.558465
5.3048744,7,196.993146
2.8293312,4,197.805947
17.347729,24,198.009021
12.663921,17,198.212973
10.656882,15,198.627773
5.110637,7,199.229652
4.333167,6,199.439019
4.7720428,6,200.434828
6.3092823,9,200.435097
5.741912,7,200.8695
5.4574857,7,201.888889
12.541643,16,204.163647
17.039492,23,206.684866
25.282635,31,206.895943
36.781998,44,207.097133
7.7393622,10,208.889072
14.661577,19,210.96434
37.903492,49,214.204255
16.326979,21,215.251459
4.5413423,6,215.477209
16.626877,21,219.774468
28.204063,32,221.790238
53.847,68,222.861984
61.857563,80,223.070709
8.68881,10,224.932549
14.640239,18,225.558719
3.7137635,5,225.961278
6.033906,7,226.997065
31.866283,39,227.900644
5.60047,7,228.564861
26.697844,33,230.073689
4.6064467,6,231.329947
16.410725,21,232.470785
3.738568,5,232.471026
5.117159,7,233.911327
5.020561,7,233.911595
3.977091,5,234.949008
4.3953843,6,236.183391
9.68309,11,238.392614
49.581936,62,239.023112
4.5391903,6,239.651859
14.059806,16,242.361079
33.642803,42,242.580079
6.3378787,9,244.437901
62.328472,80,245.258374
12.343579,17,248.85777
32.86371,41,251.045332
4.6280055,6,252.286979
16.291355,20,253.131277
4.7212915,6,253.621338
50.508823,67,253.840749
37.558784,50,255.062122
7.8408833,10,255.890535
11.240119,14,256.110472
12.460533,14,258.090071
19.099491,24,258.688336
5.84865,7,259.506489
16.902105,23,260.932717
27.690596,35,263.17683
16.935658,20,263.593826
3.7789116,5,264.242768
16.779093,23,265.717775
14.891034,21,268.019322
14.935888,17,271.523033
31.14706,41,272.820148
6.153756,8,273.259675
4.487173,6,274.508172
62.529934,80,275.317855
43.723537,59,278.046838
13.663523,19,278.460945
21.417965,27,278.461188
13.178648,18,279.105561
14.783363,18,282.742848
18.9423,22,282.94969
24.990028,30,284.68823
33.365776,46,287.545079
10.250035,13,290.461446
20.15595,28,290.670653
29.431206,41,291.698565
2.8389223,4,292.501125
9.022783,12,293.138788
4.419918,7,293.95753
4.857039,7,294.567535
6.78393,10,296.020163
52.976223,66,296.666372
25.725986,30,300.794437
25.811014,34,303.112785
26.239695,32,303.357802
11.388469,13,303.570857
54.284805,68,304.598703
4.533675,6,304.811705
6.307857,8,304.811944
24.461246,30,310.633269
34.527218,41,313.277002
35.57196,43,313.74022
39.947792,53,314.386203
10.348119,12,315.845302
20.848398,28,316.674858
26.617733,35,321.062291
16.229912,22,321.283463
29.077116,35,321.699347
15.623505,20,325.189276
41.814724,50,326.272551
22.329021,27,327.357313
36.767952,46,330.898669
6.4240265,8,332.604438
21.860006,26,332.839622
29.119316,39,333.503623
28.92669,35,333.71251
11.929914,15,335.994544
13.38523,15,336.814308
13.951207,19,337.458887
2.9145555,4,338.314532
10.391907,12,339.403995
38.99728,42,341.439303
18.959543,26,343.66937
41.617283,54,347.243334
19.588081,26,349.141131
36.156788,49,349.579206
9.118164,11,349.579494
6.652752,9,351.02921
44.618088,55,352.877559
13.428526,17,354.564516
22.569605,26,355.02633
10.477141,13,355.685199
32.87059,37,357.507994
16.40229,22,359.738101
15.434993,20,359.951059
7.184801,9,361.862276
5.387246,7,363.301939
34.37336,41,366.065339
18.299816,24,368.398289
55.196205,69,369.21242
28.172384,35,373.242572
26.200758,32,375.033756
3.429794,5,376.070321
61.48769,80,376.477703
31.394861,43,378.151715
12.114247,16,379.767817
30.320784,38,381.179807
6.5211673,8,381.387215
27.288002,37,383.715133
12.270538,14,384.159562
25.031431,33,385.012412
21.187164,27,387.137756
3.723942,5,388.281114
8.889489,12,390.761446
28.171072,36,391.844996
11.575661,16,394.108127
3.866806,5,395.204938
47.880527,63,397.090959
21.904247,24,400.268315
3.2022717,4,401.112595
15.171115,20,401.337213
34.308372,46,401.551449
61.997814,80,401.97167
5.2534094,7,402.795418
4.68616,6,404.003159
11.527772,13,404.207427
13.881677,19,407.898649
26.496614,31,408.324491
18.878242,21,408.543132
28.922586,37,408.778558
6.7629437,8,410.452473
10.672594,13,413.196119
19.954475,23,413.196393
