#{"t_start": 1765327240.6666498, "env_id": "None"}
r,l,t
4.1063313,6,10.464485
9.239241,12,12.992241
9.657058,12,12.992532
4.4832006,6,15.517981
8.691965,11,17.685213
8.235175,10,21.998492
33.563126,40,25.048669
28.616934,38,26.731536
6.9602337,11,26.731855
23.760641,31,28.915752
7.021769,9,28.916037
7.616986,9,30.872083
6.5286613,9,30.872353
8.936294,11,33.799165
6.889145,9,34.668314
6.129675,9,34.668619
13.215532,16,35.991627
7.2690735,10,38.11754
10.908814,13,40.349034
9.690187,12,43.437117
1.1586999,2,44.267039
16.884302,23,44.680906
4.770219,6,47.252485
2.598501,4,49.064011
8.312541,12,49.523081
7.107728,9,52.926547
23.750658,30,53.385533
30.041533,40,53.385899
7.3492117,11,58.136886
8.48768,11,58.137182
14.899227,20,58.137287
1.776279,3,59.411737
6.3479805,9,61.956094
25.109499,31,66.219386
11.4825115,16,73.145138
30.574299,40,75.288444
31.774477,40,76.631449
3.882533,5,78.902225
31.348186,40,79.330374
8.170065,10,83.608718
22.612879,29,85.778344
13.794043,18,86.656362
6.3496404,8,87.077685
4.014251,5,89.258046
6.8472486,10,90.978737
27.657436,36,90.97906
4.9700565,6,91.897965
1.0438815,2,92.799545
13.511169,16,92.799824
3.3778803,5,93.217635
1.9549751,3,94.511377
4.623137,6,95.359962
4.7488246,6,97.042895
11.125917,15,97.475343
3.573884,5,99.138555
9.016754,12,100.433038
16.680717,21,106.374559
28.975107,40,109.844316
1.9105483,3,111.122362
18.418644,26,111.552323
1.8832009,3,112.405448
18.350409,23,116.269032
32.081196,40,116.269296
4.3705854,6,118.885291
13.122416,18,119.333205
4.9953723,7,121.966662
18.643257,24,122.87094
7.114982,9,123.331395
2.7387588,4,123.778732
2.9563348,5,125.080645
19.011505,22,125.949616
4.243071,6,128.515413
16.259424,23,135.026261
26.615303,36,139.357057
19.8222,26,139.789535
29.788641,40,140.653744
1.9288768,3,141.104504
16.44209,23,144.903868
4.156784,6,147.461402
12.987205,18,148.749779
8.927397,11,153.573249
24.153088,34,155.285452
30.23184,40,156.568027
10.685533,13,159.082658
21.121227,28,159.501804
1.9955435,3,160.335018
11.659381,16,162.020028
5.1051636,7,162.440643
6.977074,10,164.629313
13.9024315,19,164.629557
4.5058756,6,165.077354
3.7707987,5,166.889881
9.487477,11,166.890178
4.4669642,6,167.784089
12.55569,18,174.711349
2.6192546,4,176.426646
16.99277,22,177.295047
26.725164,36,180.349946
7.5261636,10,180.771533
26.151432,37,182.875071
7.43919,10,184.586234
6.8796782,9,184.586485
9.279018,12,188.007029
6.8406696,10,188.860617
22.829123,30,190.173751
9.727248,13,190.174446
3.465168,5,191.076744
6.0174236,8,191.503888
9.881802,13,195.710919
9.093583,13,196.571345
5.0045624,8,199.131856
4.2388,6,199.132138
16.79506,22,199.561043
1.0216594,2,200.448872
2.6192546,4,200.892173
22.314606,27,203.163639
3.284121,5,205.300408
9.716254,13,206.582303
20.253733,28,212.785134
10.614746,14,212.785468
18.418108,24,215.885852
30.94411,40,216.776441
9.863842,13,218.479596
4.243048,6,218.479837
4.368845,6,219.32781
8.260678,11,223.16585
20.013466,25,223.599198
10.362139,14,224.448242
10.28262,12,224.448517
1.905423,3,225.72099
4.4162493,6,226.153474
8.173276,10,227.533937
6.4631276,9,230.120804
10.314042,12,230.994357
2.599039,4,231.839953
15.886097,19,232.70335
3.8365817,5,233.959876
11.949575,16,239.585917
19.92778,26,242.212887
4.9086695,7,242.650527
28.800322,40,244.859565
24.947662,32,247.817654
9.634289,12,247.81795
12.882835,15,248.673599
5.2149305,7,250.832046
11.242953,15,251.264353
13.554811,18,256.492247
12.56511,16,257.902598
16.567974,20,260.151819
19.601673,28,260.152149
5.9947677,8,260.152262
8.510346,10,262.316063
5.0275617,6,262.747519
1.8867344,3,264.04849
11.475824,15,266.604797
8.10285,11,267.061926
12.307733,17,267.511011
4.2174773,6,269.159737
3.2824156,4,269.160002
11.595245,14,270.012003
7.4637594,10,271.305297
16.794828,22,278.527181
18.609827,23,278.976933
18.914341,27,281.56864
4.4612565,6,281.56893
18.710867,24,281.569018
3.4878323,5,283.673854
3.5089374,5,283.674136
10.594022,12,289.047175
14.922172,18,289.47949
2.6654384,4,291.306396
21.728138,31,292.205747
18.7509,23,293.961765
7.351192,10,296.474069
19.590687,23,298.969818
9.3335705,14,299.840046
5.8424067,8,299.8403
1.9498675,3,300.278422
2.6661038,4,301.575021
22.097378,29,303.779873
4.360814,7,306.811741
12.220445,16,308.614354
26.475534,30,313.424335
15.191031,18,314.694875
1.1404648,2,315.579526
29.111002,40,317.290319
10.419032,12,320.670783
3.74908,5,322.808246
10.617509,14,323.258245
25.05707,34,323.258525
22.810753,30,326.312084
6.376535,9,327.156943
8.68975,12,327.996497
12.699506,17,330.504862
11.3703165,14,332.250863
4.463128,6,334.745016
3.3722038,5,336.873222
17.420612,23,337.781118
1.9955435,3,339.127947
18.904102,24,340.884133
3.2222223,5,343.029991
10.701855,15,343.454588
32.390312,40,344.302009
6.4848137,8,346.388161
5.3993134,8,346.805415
7.3940363,10,348.513795
2.6658905,4,350.242929
20.032804,27,350.665839
12.501083,17,353.651094
7.8634186,10,354.554699
3.6249058,6,357.201391
16.170557,21,359.7145
9.881039,13,362.785136
30.230867,40,364.066261
17.535921,26,364.899226
1.0429858,2,365.738016
12.015541,15,366.171054
7.773301,10,367.027367
1.7321776,3,367.451164
3.3534012,5,367.884683
8.290556,12,369.19674
3.8703983,6,371.696064
8.104123,11,372.128171
2.5105484,4,373.855227
5.8785768,8,375.197664
5.6365337,7,376.965003
17.54565,22,377.459918
1.6429455,3,378.383503
2.8162706,4,380.120297
5.1540575,7,380.567837
12.482738,16,382.285611
4.2621813,6,382.710269
28.901129,37,383.145389
1.9549803,3,383.568555
3.779586,5,384.872343
4.134491,6,386.170969
10.960733,15,387.067203
8.346276,11,387.967392
3.8601909,5,388.401875
7.151773,10,389.302379
2.639988,4,389.732295
3.2711234,5,391.48881
8.614904,11,391.909746
9.971278,11,393.149704
3.113787,5,393.559899
2.8844326,4,395.213607
6.3247075,8,395.213871
12.341018,15,396.057474
6.039186,7,398.215223
10.656079,13,401.750305
16.036575,21,402.198923
6.904618,8,405.23874
6.068338,9,406.14908
19.282335,25,406.149439
2.4474993,4,407.858898
3.4429455,5,408.282322
20.200006,28,410.460452
9.705,12,413.070462
3.2636874,5,415.206198
18.877268,26,416.521068
5.6870313,7,418.269041
19.303556,25,419.162523
17.419466,24,426.970153
12.646148,18,426.970461
31.264719,40,427.849223
1.951099,3,428.266314
1.7534975,3,429.510954
4.7032604,6,430.357324
7.245813,10,431.21212
2.2894518,4,432.913405
3.486831,5,435.031209
33.297382,40,435.487009
1.775052,3,436.801461
4.5699267,6,437.668358
15.748743,20,438.125664
14.783016,20,438.988587
3.2667804,5,438.988842
1.8844323,3,440.244574
7.839725,11,442.355942
15.121693,17,445.351975
10.304792,14,446.261617
18.281155,21,448.095172
4.8651676,7,449.38443
8.636432,11,450.232395
15.416994,19,450.664745
1.6411968,3,450.665012
10.255398,13,453.666411
1.8216594,3,454.967412
10.643699,13,456.238248
11.643294,17,457.930594
8.620186,10,459.220965
4.5971327,7,460.992388
8.16695,11,460.992663
4.524502,6,461.829595
31.455841,40,467.312336
11.710398,16,467.74416
13.8456,19,469.068362
4.6154914,6,469.943201
4.568713,6,470.394881
2.094536,3,471.279363
4.2817016,6,471.738034
22.376867,30,474.735743
6.6414566,10,474.73605
6.819244,9,475.574988
5.0406594,7,477.653322
7.202343,10,478.93568
5.556141,7,480.670652
8.820811,13,481.094705
3.0158663,4,482.389776
5.753273,8,482.39009
19.845098,27,482.838017
3.3757198,5,483.26602
2.5362475,4,484.67261
