#{"t_start": 1765378660.2359, "env_id": "intersection-v0"}
r,l,t
1.407831,13,2.055164
-3.105669,15,2.482446
-2.468775,23,3.133376
3.952976,14,3.387557
5.380722,26,4.065513
-0.906277,18,4.57685
3.591043,26,5.349725
4.02474,26,6.240685
-1.334958,21,6.621942
0.245268,26,7.338892
2.263748,26,8.181065
4.281051,26,8.946163
6.910419,26,10.127629
-1.383881,6,10.238742
-0.560074,16,10.633971
2.724617,26,11.481457
-0.228667,12,11.703334
4.476195,26,12.296118
6.262103,26,12.890883
3.298773,26,13.744519
5.950809,26,14.616922
-1.303273,14,14.919137
-1.740256,25,15.741915
2.886639,26,16.399264
0.303224,19,17.019019
3.0,9,17.277498
-0.040907,14,17.684173
2.329076,26,18.528743
13.730504,24,19.166953
9.601559,26,19.771353
2.705631,26,20.599411
8.830679,23,21.241375
-3.251181,17,21.749107
0.860751,17,22.186107
-4.174498,19,22.771302
-3.23075,17,23.185728
8.33254,26,23.922257
6.047363,26,24.705414
0.827607,14,24.898374
3.0,14,25.324703
1.377855,23,26.031168
-0.363728,10,26.375162
8.919718,26,27.52754
3.517346,26,28.491597
0.539985,26,29.504577
7.291174,26,29.972328
2.429564,26,30.888598
7.932812,24,31.787329
9.13968,26,32.481838
6.644946,26,33.12039
0.655966,13,33.521692
3.414923,26,34.143037
2.253371,26,34.609951
5.64925,26,35.298419
2.118347,26,36.020975
0.378136,26,37.140623
5.651943,26,37.840045
-2.255192,18,38.307009
-0.779014,18,38.806873
0.0,26,39.620643
-2.770763,15,39.869512
10.06872,26,40.485807
7.405647,26,41.152324
5.478412,26,42.026634
7.189102,26,43.061018
-3.503645,16,43.660124
3.991892,26,44.242069
-3.338859,20,44.847203
2.053145,10,45.133918
3.02395,26,45.986681
-2.565641,17,46.389716
2.298326,26,46.853142
1.485321,26,47.962991
-3.227976,14,48.482367
6.854151,26,49.326373
-0.564656,11,49.581009
-2.61314,22,50.302687
3.0,9,50.515356
3.378268,26,51.291032
2.253371,26,52.199877
5.0,26,53.124071
5.177398,26,53.716958
-1.548441,23,54.29911
1.137227,26,55.438466
7.056015,26,56.203893
0.036669,9,56.432936
4.396825,26,57.198706
-1.005014,24,57.782393
5.581001,26,58.556625
-2.411005,23,59.302618
13.594162,24,60.001982
6.197798,26,60.851301
6.0,12,61.00881
7.573164,26,62.028862
13.116817,20,74.493158
0.865244,12,74.780927
1.496299,11,75.173849
-0.974744,23,75.998976
-3.012541,13,76.3967
5.0,13,76.730489
8.478659,26,77.634103
-0.400019,12,78.046377
6.0,26,78.91757
1.167327,12,79.352621
0.0,10,79.652808
0.358691,19,80.353946
8.841273,26,81.137571
-2.342183,16,81.598973
2.099159,11,81.935715
8.420749,26,82.750458
1.148429,12,83.010689
9.356234,26,83.796973
6.694791,26,84.706049
15.623395,24,85.349051
2.239734,14,85.836443
14.020571,26,86.710626
0.700951,16,87.349161
3.450083,11,87.65616
9.965578,26,88.534438
1.01018,21,89.144155
9.446584,26,90.042659
-0.448025,13,90.501091
3.196466,14,90.904335
2.0,9,91.15496
7.190485,26,92.143817
1.632576,12,92.52653
5.184735,12,92.785028
-0.029288,19,93.239218
5.947581,26,94.207581
14.01418,25,95.029865
4.118382,11,95.359863
-0.833688,18,95.973566
17.036702,21,96.463086
3.42033,9,96.733451
3.302408,26,97.457025
0.571008,17,97.785854
7.700368,26,98.51542
0.28173,12,98.833298
1.371419,15,99.267354
16.0851,26,100.022074
7.440971,24,100.698525
12.56349,22,101.536653
11.551461,23,102.212435
7.917775,26,102.902655
-1.370283,16,103.24247
11.555567,26,104.114549
3.605093,13,104.477811
15.038367,20,104.982732
8.330803,26,105.79694
2.003349,13,106.148814
0.545671,10,106.364455
9.720091,26,107.103923
3.203688,13,107.568875
6.3905,26,108.684164
15.151159,22,109.435475
1.410634,12,109.80338
1.411239,14,110.18404
0.841547,26,110.96996
-0.729781,15,111.480195
-1.867175,11,111.69681
3.0,15,112.255283
-2.490932,18,112.89884
5.506737,26,113.876388
0.359955,14,114.18337
10.023224,26,114.840315
-5.0,1,114.922895
2.0,7,115.231682
9.817599,26,116.226958
10.212449,26,116.857592
1.173503,14,117.296219
-1.638315,26,118.58363
9.407235,26,119.365836
10.017109,26,120.212551
10.37105,26,121.389565
-5.0,1,121.456118
3.241701,26,122.110937
15.081335,21,122.910161
1.76925,26,123.870438
-2.174924,14,124.32938
1.407831,12,124.685174
3.570942,14,125.355976
3.0,15,125.910844
-1.83683,17,126.408684
11.098449,22,127.201396
7.959307,26,127.993148
13.202705,19,128.663235
5.227743,26,129.785519
15.645529,25,130.505409
3.0,13,130.990081
2.369567,14,131.429049
0.387795,13,131.628776
1.094993,19,132.65043
2.12503,12,132.960564
0.20831,13,133.35535
-1.322264,13,133.630551
0.71748,15,134.106283
5.203132,14,134.520653
1.094993,9,134.778852
1.293621,14,135.098802
9.665798,26,135.938852
3.0,8,136.173088
9.725332,24,137.07715
-1.045516,13,137.425181
11.371967,25,138.371202
4.169881,26,138.976723
-2.840347,17,152.271292
15.200074,19,152.767172
3.565295,26,153.594378
15.108543,23,154.482721
15.164461,21,155.089809
8.00441,26,155.842535
5.70006,11,156.221937
10.002955,26,157.044458
11.2151,23,157.745889
1.072606,13,158.154186
6.789745,21,158.786852
8.0,26,159.748883
0.274271,10,160.036211
1.985373,12,160.502795
4.0,10,160.796915
11.301469,24,161.48326
3.454123,26,162.409666
4.238717,12,162.890591
5.0,12,163.345053
4.089062,12,163.758586
13.811851,23,164.465316
-0.291876,9,164.717048
5.0,12,165.017856
-0.757147,18,165.707839
-1.846892,13,166.061097
5.185413,13,166.381498
15.674277,21,167.254529
14.138458,21,167.762655
11.664269,21,168.343643
14.467937,23,168.967922
0.391009,12,169.304241
-0.414575,15,169.788927
-1.673013,19,170.274738
2.634105,16,170.752884
8.0,14,171.032678
11.574134,26,172.071718
1.668525,14,172.416552
1.175493,15,172.846256
9.656422,21,173.487217
11.296414,26,174.22787
-0.795321,13,174.74868
-2.243625,11,175.094464
5.0,11,175.449156
0.740208,12,175.858927
-2.300346,19,176.341277
-0.155239,14,176.789462
2.95481,14,177.181818
13.75148,19,177.706016
1.191099,12,177.977223
12.974213,22,178.457578
-1.913108,19,178.795293
-1.040908,13,179.169679
7.307828,26,180.215333
3.446152,12,180.437552
-0.953152,13,180.722084
9.665785,26,181.426299
-0.864076,16,182.029966
2.137428,19,182.825314
6.926985,26,183.39622
3.053538,26,184.159438
8.708296,26,185.086742
3.700557,14,185.389288
15.633349,21,186.055054
-0.135346,12,186.345299
5.781931,26,187.253509
6.651879,26,188.2696
0.328525,13,188.549353
5.10095,26,189.402889
10.135584,20,189.870652
0.429056,12,190.264083
1.13707,26,191.057187
0.656579,12,191.311904
1.85965,14,191.716665
4.240021,14,192.159417
16.014584,18,192.488884
-0.447626,15,192.827286
9.62696,25,193.704594
0.355742,15,193.997441
13.206424,20,194.512536
17.391525,22,195.454245
8.497212,26,196.10989
13.12875,22,196.970658
2.40078,15,197.388729
1.657791,12,197.774843
12.602262,21,198.274858
10.38687,22,199.123551
-1.311792,13,199.53345
16.402672,21,200.251357
9.429435,23,201.034773
17.0,17,201.407511
7.190578,26,202.249596
-1.375305,15,202.735217
1.289168,26,203.889487
0.986873,13,204.277437
0.923034,13,204.59645
2.159457,8,204.709718
2.486328,12,205.001515
13.849265,23,205.843655
12.011286,24,206.645164
4.0,10,206.87655
12.201342,22,207.37658
-2.138255,20,207.933177
10.572571,25,208.766948
-0.603136,13,209.077763
-2.600953,21,209.772791
3.185129,14,210.127334
-2.601466,24,211.101826
-0.721711,13,211.401035
8.363345,21,212.007917
-2.221202,25,213.057579
5.40795,26,214.141473
1.855531,11,214.475034
1.094993,11,214.80893
14.788459,20,228.638869
0.810433,12,229.161005
1.854151,11,229.541031
9.511404,26,230.317814
10.60646,26,231.108959
0.144309,11,231.485072
8.0,14,231.806768
2.204104,10,232.031048
13.14023,26,232.96891
16.424148,21,233.495013
0.652197,24,234.165841
18.0,19,234.93197
5.0,11,235.313545
0.966014,20,235.879117
17.587232,21,236.47456
12.592218,22,236.842283
4.026751,11,237.09175
0.06674,12,237.480878
10.050148,26,238.364616
0.660143,16,238.874053
-0.065129,13,239.164363
6.158696,12,239.519681
-1.002316,12,239.894869
4.700537,15,240.216662
4.0,10,240.557539
4.047672,12,240.914569
0.698633,14,241.24773
9.000475,25,242.175293
14.408239,23,243.000462
13.62729,20,243.575058
2.193976,12,244.014907
8.828222,24,244.89696
18.446021,20,245.503906
-1.546763,12,245.829217
13.158115,19,246.319283
3.50899,11,246.582041
-5.0,1,246.680322
8.359438,26,247.59204
12.808172,22,248.338038
6.0,12,248.664902
