#{"t_start": 1765297366.2538664, "env_id": "intersection-v0"}
r,l,t
6.155029,13,3.797209
1.536648,13,5.027611
7.550194,11,5.815223
1.0,13,7.205993
-2.370348,5,7.620425
9.617421,11,8.210697
0.460177,11,9.107869
2.0,13,10.150162
7.538666,11,11.306304
0.0,13,13.266146
6.244189,11,13.928036
-2.0,7,14.572916
-5.0,1,14.735032
1.549795,13,15.792262
-1.0,6,16.177418
6.218002,12,16.903364
2.549796,13,17.84939
1.0,13,18.816856
-2.370348,5,19.47911
1.475051,13,20.541376
-2.449821,9,21.119636
4.15593,13,22.287704
-1.0,6,23.00815
-1.0,4,23.218362
-1.0,6,23.718953
-2.0,6,24.247113
-1.0,5,24.616721
5.0,13,25.493072
-2.061679,7,26.187744
1.0,13,27.554357
0.0,13,28.914002
-2.0,10,29.553012
-3.82571,12,30.547882
-2.751518,10,31.288842
3.633425,13,32.738524
0.0,13,34.216579
1.472862,13,36.199978
3.235928,13,37.646628
4.259425,13,38.807076
2.681634,13,39.513703
6.626744,9,40.372561
-3.0,5,40.895453
8.633113,10,41.621813
3.552554,13,42.564562
-2.436558,6,43.027936
1.683703,13,44.289445
0.0,13,46.028586
4.0,13,47.354597
-3.467256,10,48.292788
1.559105,13,49.691775
8.618513,10,50.608583
4.537098,13,51.923752
-2.373197,6,52.297761
-2.0,11,53.327257
7.472952,11,54.032598
-2.382567,8,54.631655
0.0,13,55.935729
-4.436631,13,56.753293
3.0,13,58.397921
-3.316297,4,58.843772
-2.0,4,59.213296
8.618513,10,60.024437
10.0,10,60.649511
-1.680047,5,60.805469
-0.373185,6,61.303567
-3.631866,11,62.06842
0.604275,13,63.626408
0.0,13,64.478316
3.604275,13,65.415214
-3.316297,9,65.817911
0.0,13,67.151298
9.0,9,68.100665
0.0,6,68.588406
-1.372771,7,69.345425
-3.356173,7,69.768304
1.627156,13,70.838702
7.257553,10,71.229285
7.681208,9,71.833141
3.846412,13,72.519855
7.154482,13,73.723096
3.298783,13,74.50081
-3.046228,6,75.210818
3.806671,13,76.23449
3.155974,13,77.788451
-2.365057,11,78.928776
-3.372844,5,79.06615
1.549795,13,80.238942
4.58869,11,80.986163
3.473824,13,82.20727
1.483775,13,83.217279
-1.526176,8,83.794123
4.633166,13,84.67773
-2.382567,6,85.040308
0.0,5,85.427026
-1.527137,13,86.562071
0.0,13,87.247294
-2.4629,9,88.448059
-2.44823,9,89.196305
-4.370775,9,89.949389
6.101401,13,91.274738
4.240772,13,93.196066
3.460262,13,94.390005
2.228757,13,96.147183
7.550194,10,96.747086
-1.0,5,97.236028
0.695809,13,98.306171
0.695809,13,99.080161
6.486073,12,100.119276
-3.0,11,101.512614
2.681634,13,102.330588
