#{"t_start": 1765290655.4784973, "env_id": "merge-v0"}
r,l,t
9.855224,11,3.200056
14.184037,16,3.458121
14.450217,17,3.716361
14.304275,16,3.938363
14.67722,17,4.152463
16.60445,19,4.416886
12.102548,14,4.623391
16.723648,20,4.957229
25.616805,30,5.402859
14.153906,16,5.598425
22.183063,29,6.020445
11.11648,12,6.206421
18.046525,21,6.546279
24.82193,33,7.037066
9.09852,10,7.160377
27.413273,33,7.603409
25.454822,29,8.052456
8.116829,9,8.195408
13.103077,16,8.415259
14.352233,17,8.64747
15.326014,18,8.925333
10.344656,12,9.073773
18.676726,23,9.419859
17.396547,20,9.709695
28.125051,32,10.149638
18.338904,21,10.45366
11.734168,13,10.630664
19.59805,23,10.99814
21.413889,28,11.416245
12.354945,14,11.603243
13.224351,15,11.80933
16.504193,20,12.046563
8.097193,9,12.161892
17.967778,21,12.497128
8.848626,10,12.656014
15.488177,19,12.973379
20.007643,22,13.323404
15.65453,19,13.612233
10.944839,12,13.751606
17.517098,20,14.029065
11.112026,12,14.164564
27.800486,32,14.654983
24.679099,33,15.142493
18.919073,23,15.524689
23.740632,27,15.943365
13.754558,16,16.151682
16.318055,19,16.458675
17.113738,19,16.750675
28.656537,33,17.194473
11.553607,13,17.385532
18.03311,22,17.72684
11.664788,13,17.898196
22.700354,26,18.298426
11.09748,12,18.487712
21.112594,25,18.879825
22.194345,25,19.293148
25.583739,32,19.796512
24.358433,28,20.203553
21.533554,24,20.57582
10.076568,11,20.71548
18.526039,22,21.064853
13.669889,16,21.281915
29.072674,34,21.845952
17.401733,20,22.144348
27.44332,31,22.631858
12.555848,14,22.848403
8.252969,9,22.987328
24.453124,27,23.407646
18.075162,21,23.707871
15.711778,18,23.967487
22.144544,25,24.324448
16.984586,20,24.622619
17.196264,20,24.889714
13.281986,16,25.100785
11.281759,13,25.273373
9.430877,11,25.450778
26.215039,30,25.891583
25.88419,31,26.33955
23.223166,26,26.740572
14.301091,16,26.99573
15.624989,19,27.275765
14.075105,17,27.534781
17.255548,21,27.840758
17.094848,20,28.15461
22.213911,25,28.565899
12.273061,14,28.780874
9.888889,11,28.925889
13.402035,15,29.17222
7.931043,9,29.317674
12.740395,15,29.535315
20.560828,25,29.91847
8.207037,9,30.06659
14.41932,16,30.301866
23.028499,26,30.645223
7.15772,8,30.771052
13.079544,15,30.976626
13.208913,15,31.151621
15.528427,18,31.4475
15.054881,17,31.711395
10.763409,12,31.899814
11.095934,12,32.087671
8.669672,10,32.205462
20.055113,23,32.571252
16.333213,19,32.869314
14.624088,16,33.127351
21.379852,25,60.796561
15.236372,17,61.070407
19.319402,23,61.429477
13.761595,17,61.697955
14.176136,16,61.925815
10.586278,12,62.082342
10.92917,12,62.269855
18.268763,22,62.59068
11.525542,14,62.809729
15.875875,18,63.09583
8.706784,10,63.221485
16.814186,19,63.515326
14.796178,16,63.773956
26.73483,30,64.281781
10.950031,12,64.477478
10.442552,12,64.654989
27.915856,35,65.183991
24.079567,31,65.629218
21.180438,26,66.072203
17.581854,19,66.340584
17.863419,20,66.645037
18.587309,23,67.025546
14.876554,17,67.308726
10.690039,12,67.512645
27.492841,31,67.981019
10.278588,12,68.172909
22.66366,31,68.643248
8.283333,9,68.759574
11.386137,13,68.960465
15.932882,18,69.256424
7.848862,9,69.402764
17.79026,20,69.729078
20.400768,26,70.126706
27.900987,34,70.662871
22.956298,29,71.025012
17.970882,22,71.356391
14.055472,16,71.586015
9.944444,11,71.744805
8.109232,9,71.869135
27.224639,31,72.357789
22.903942,28,72.778585
10.172222,11,72.921913
24.809585,34,73.411639
20.910302,24,73.785081
17.702872,20,74.09556
21.562799,27,74.534959
24.733889,34,75.065067
27.395989,32,75.57044
13.39162,16,75.825648
17.25882,20,76.113628
7.071108,8,76.214032
17.128141,20,76.542274
24.364831,30,76.988395
12.639321,14,77.215075
12.192953,14,77.383586
11.514522,13,77.567972
26.345385,32,78.069084
17.07289,19,78.349212
19.018605,21,78.65707
24.902293,34,79.171566
12.885325,15,79.382856
26.701557,30,79.844976
11.651658,13,80.046948
14.376129,16,80.296879
20.684545,26,80.658777
28.133742,31,81.152183
10.85599,12,81.337665
24.590184,28,81.765554
20.721308,27,82.165574
14.938722,17,82.442447
27.235322,31,82.936239
7.9176,9,83.057888
11.576476,13,83.26526
11.426809,13,83.454221
25.392755,30,83.897383
19.068538,22,84.260327
11.87671,13,84.481477
10.15819,12,84.637401
18.137353,21,84.93122
18.320286,21,85.222432
13.276309,15,85.432115
18.138176,21,85.688052
13.56031,15,85.912327
26.682177,30,86.394629
15.0442,18,86.694968
8.137018,9,86.833072
21.117946,27,87.25849
11.253455,13,87.437969
9.962642,11,87.611583
12.91863,15,87.846677
15.286235,17,88.12435
13.169,15,88.350706
23.469233,30,88.829332
25.594012,31,89.288132
26.548605,32,89.759899
10.605913,12,89.952779
18.44663,23,90.332839
8.647843,10,90.492275
13.281049,15,90.727141
24.306522,33,91.209933
27.902107,31,91.658644
9.720214,11,91.826722
16.211886,18,112.748442
24.62889,29,112.958207
9.775289,11,113.064414
18.776762,23,113.224509
19.631104,23,113.399975
7.781299,9,113.473583
20.804256,27,113.673871
7.82893,9,113.730943
21.140483,25,113.889624
12.863834,15,114.014328
14.369512,16,114.149514
23.853908,27,114.361071
13.404235,16,114.496843
24.75144,29,114.7103
19.359075,23,114.898041
11.127772,12,114.981219
9.367661,11,115.068125
18.126078,21,115.239056
10.169612,11,115.330187
24.910034,33,115.591516
26.531651,32,115.82833
16.790154,21,115.985676
8.657866,10,116.058315
17.276746,20,116.207856
27.771198,32,116.440374
14.6491,17,116.58575
10.86693,12,116.675876
7.933722,9,116.754756
19.545522,23,116.918447
12.949239,15,117.021572
16.633703,20,117.178268
13.564956,16,117.301509
26.274383,32,117.536799
20.650999,24,117.73009
12.99905,16,117.847176
13.584767,15,117.953317
23.98871,28,118.170616
10.86587,12,118.262757
16.050673,18,118.3824
13.819246,16,118.493551
23.768211,27,118.713953
27.601116,32,118.945268
25.497912,30,119.197063
11.224605,13,119.293713
16.334294,19,119.431981
18.779113,22,119.610104
9.646649,11,119.683499
28.83917,33,119.938866
23.883323,30,120.21016
15.052747,17,120.377901
22.709714,29,120.713477
23.743591,31,121.071705
22.025068,27,121.406808
22.855593,30,121.81692
28.418059,34,122.281969
8.041637,9,122.401961
27.28486,33,122.820526
29.20716,34,123.285086
28.143058,33,123.733947
10.081454,11,123.882137
9.479689,11,124.016974
12.887984,16,124.23345
23.444638,29,124.657137
17.483641,20,124.937735
12.518201,14,125.134672
25.59046,34,125.609788
24.383182,27,125.978657
13.232171,16,126.184598
24.226179,33,126.593999
10.048802,11,126.73879
15.06692,18,126.973274
25.735306,31,127.420609
15.381075,17,127.65133
21.324771,25,127.991607
18.446838,22,128.302705
8.700102,10,128.436905
16.485469,21,128.739484
25.750878,30,129.128762
21.170537,27,129.482716
14.217751,17,129.701921
26.42043,32,130.139004
25.144796,29,130.520563
16.100833,18,130.695817
14.677226,17,130.838853
15.004913,17,130.979091
29.54556,35,131.256992
9.922771,11,131.350498
14.668171,17,131.47517
26.017695,32,131.750259
10.797005,12,131.84689
17.893405,21,132.01088
15.59239,19,132.158599
26.63881,32,132.408547
20.489141,25,132.615292
25.065057,34,150.835465
11.088857,12,150.938891
25.317405,34,151.225327
22.350095,26,151.437104
20.392286,25,151.631737
21.515457,27,151.849372
25.467556,33,152.116312
25.248575,30,152.347917
15.990879,18,152.48636
13.487248,16,152.626782
17.198435,20,152.793211
19.747788,23,152.974096
28.70654,35,153.255517
23.356474,30,153.50014
26.755756,30,153.759033
20.856401,24,153.950784
29.925893,35,154.269233
24.042827,32,154.542226
15.972425,19,154.694578
25.38745,29,154.971188
12.917542,16,155.112384
16.698138,20,155.279124
12.087777,13,155.392278
7.86817,9,155.464371
29.062653,34,155.774219
18.657907,21,155.964686
11.489001,14,156.096125
21.000933,24,156.291853
19.322472,23,156.490745
26.392364,32,156.789598
18.370314,21,156.961549
11.417087,13,157.073281
15.577116,18,157.222552
9.202621,10,157.307768
12.512508,14,157.421295
22.434211,32,157.708899
10.504645,12,157.81484
6.95,8,157.873434
