#{"t_start": 1765294067.0021012, "env_id": "merge-v0"}
r,l,t
8.513859,10,2.877434
4.219721,5,3.039118
4.801743,6,3.237333
4.050189,5,3.374188
10.389875,12,3.708391
7.017168,8,3.920643
12.918633,14,4.322277
4.252945,5,4.422555
10.591539,12,4.714286
8.048893,10,4.99809
4.090074,5,5.131874
6.148864,7,5.353159
5.998121,7,5.560109
5.071325,6,5.720099
8.354993,10,5.966244
4.227778,5,6.117748
6.20442,7,6.33313
9.179223,11,6.598735
9.970635,13,6.944102
12.035546,14,7.314165
4.164788,5,7.40504
12.638956,14,7.836745
6.194444,7,7.986739
4.025899,5,8.12734
3.336278,4,8.241705
5.741689,7,8.434047
8.393298,10,8.641116
3.333333,4,8.762172
3.252945,4,8.86249
11.567937,13,9.219972
3.145673,4,9.326215
3.416667,4,9.449287
7.124876,8,9.679475
3.388889,4,9.787107
11.632402,14,10.175627
12.190552,15,10.579032
13.640846,15,10.973589
3.366667,4,11.091231
3.234815,4,11.20542
6.082074,7,11.385814
13.300401,15,11.752278
4.262593,5,11.883242
5.623357,7,12.091369
5.889788,7,12.314069
4.941943,6,12.474206
10.701648,12,12.819422
5.133522,6,12.999125
3.275899,4,13.102399
12.446458,14,13.443892
4.038987,5,13.568282
8.582403,11,13.817917
4.189078,5,13.978759
4.152749,5,14.09188
6.100074,7,14.273033
7.882651,10,14.506755
6.928603,8,14.720926
5.997499,7,14.868344
3.938613,5,14.998776
7.80367,9,15.245904
8.663788,10,15.523722
12.280713,15,15.915804
7.671403,9,16.156209
4.336278,5,16.289093
5.040258,6,16.442383
13.513407,15,16.839107
4.164103,5,16.967342
5.696919,7,17.154641
3.812158,5,17.294637
3.986082,5,17.437521
5.148567,6,17.558078
7.144066,8,17.768751
6.868926,8,17.984383
4.220343,5,18.129987
4.133522,5,18.270167
8.55116,11,18.626451
8.28523,10,18.939833
7.873589,9,19.196925
8.645462,10,19.445177
6.067492,7,19.59724
7.891522,9,19.794147
5.250008,6,19.905014
4.997351,6,20.090201
3.920088,5,20.201284
7.20821,8,20.424473
5.345579,7,20.634865
6.902595,8,20.880927
7.998115,9,21.132965
7.569415,9,21.353365
7.556912,10,21.591567
7.849505,9,21.810107
7.02145,9,22.080666
8.950295,10,22.37087
6.147079,7,22.557732
7.058498,8,22.773415
8.054153,10,23.042759
10.910644,13,23.41212
7.211613,8,23.635558
8.36722,10,23.901003
5.932579,7,24.092894
4.077967,5,24.238029
10.976632,13,24.619958
5.621925,7,24.816327
5.599584,7,24.973989
11.916667,14,25.376102
4.040245,5,25.529089
7.036997,8,25.726963
4.094542,5,25.853767
4.080387,5,25.98181
6.958304,8,26.192598
13.634012,16,26.731761
12.113032,16,27.131686
9.078815,11,27.412965
5.896202,7,27.577215
6.941499,8,27.768021
3.132123,4,27.878562
7.183835,8,28.110884
4.248121,5,28.220524
8.706365,10,28.487337
4.955646,6,28.653579
3.98695,5,28.801145
14.180074,16,29.228815
3.930086,5,29.359802
6.227057,8,29.53841
4.182884,5,29.655174
5.901369,7,29.862927
6.275846,8,30.10648
6.836755,8,30.307141
7.146285,8,30.534042
4.055572,5,30.638767
7.109232,8,30.846467
8.639176,10,31.098836
3.069415,4,31.206949
5.680305,7,31.402259
11.346408,14,31.811138
4.979618,6,31.972541
9.289285,11,32.270171
5.338895,6,32.435439
4.009299,5,32.543202
8.030004,10,32.796093
6.777788,8,33.031422
4.76249,6,33.223477
10.371601,13,33.549541
4.339099,5,33.674125
6.607299,8,33.903645
13.634012,16,34.412811
6.485949,8,34.60629
3.373704,4,34.726489
4.04037,5,34.871634
3.849102,5,35.004285
11.741493,13,35.418667
7.044946,8,35.64176
6.459943,8,35.838177
7.253447,9,36.131426
8.662165,11,36.466514
4.984703,6,36.634659
3.038987,4,36.743016
6.745473,8,36.989401
6.984703,8,37.212585
3.192565,4,37.322216
8.592005,10,37.591006
7.381864,9,37.802778
4.941943,6,37.964914
5.006764,6,38.104498
4.873032,6,38.267724
8.494192,11,38.596337
